202;4;URUCARA
203;4;URUCURITUBA
204;5;ABAIRA
205;5;ABARE
206;5;ACAJUTIBA
207;5;ADUSTINA
208;5;AGUA FRIA
209;5;AIQUARA
210;5;ALAGOINHAS
211;5;ALCOBACA
212;5;ALMADINA
213;5;AMARGOSA
214;5;AMELIA RODRIGUES
215;5;AMERICA DOURADA
216;5;ANAGE
217;5;ANDARAI
218;5;ANDORINHA
219;5;ANGICAL
220;5;ANGUERA
221;5;ANTAS
222;5;ANTONIO CARDOSO
223;5;ANTONIO GONCALVES
224;5;APORA
225;5;APUAREMA
226;5;ARACAS
227;5;ARACATU
228;5;ARACI
229;5;ARAMARI
230;5;ARATACA
231;5;ARATUIPE
232;5;AURELINO LEAL
233;5;BAIANOPOLIS
234;5;BAIXA GRANDE
235;5;BANZAE
236;5;BARRA DA ESTIVA
237;5;BARRA DO CHOCA
238;5;BARRA DO MENDES
239;5;BARRA DO ROCHA
240;5;BARRA
241;5;BARREIRAS
242;5;BARRO ALTO
243;5;BARRO PRETO
244;5;BELMONTE
245;5;BELO CAMPO
246;5;BIRITINGA
247;5;BOA NOVA
248;5;BOA VISTA DO TUPIM
249;5;BOM JESUS DA LAPA
250;5;BOM JESUS DA SERRA
251;5;BONINAL
252;5;BONITO
253;5;BOQUIRA
254;5;BOTUPORA
255;5;BREJOES
256;5;BREJOLANDIA
257;5;BROTAS DE MACAUBAS
258;5;BRUMADO
259;5;BUERAREMA
260;5;BURITIRAMA
261;5;CAATIBA
262;5;CABACEIRAS DO PARAGUACU
263;5;CACHOEIRA
264;5;CACULE
265;5;CAEM
266;5;CAETANOS
267;5;CAETITE
268;5;CAFARNAUM
269;5;CAIRU
270;5;CALDEIRAO GRANDE
271;5;CAMACAN
272;5;CAMACARI
273;5;CAMAMU
274;5;CAMPO ALEGRE DE LOURDES
275;5;CAMPO FORMOSO
276;5;CANAPOLIS
277;5;CANARANA
278;5;CANAVIEIRAS
279;5;CANDEAL
280;5;CANDEIAS
281;5;CANDIBA
282;5;CANDIDO SALES
283;5;CANSANCAO
284;5;CANUDOS
285;5;CAPELA DO ALTO ALEGRE
286;5;CAPIM GROSSO
287;5;CARAIBAS
288;5;CARAVELAS
289;5;CARDEAL DA SILVA
290;5;CARINHANHA
291;5;CASA NOVA
292;5;CASTRO ALVES
293;5;CATOLANDIA
294;5;CATU
295;5;CATURAMA
296;5;CENTRAL
297;5;CHORROCHO
298;5;CICERO DANTAS
299;5;CIPO
300;5;COARACI
301;5;COCOS
302;5;CONCEICAO DA FEIRA
303;5;CONCEICAO DO ALMEIDA
304;5;CONCEICAO DO COITE
305;5;CONCEICAO DO JACUIPE
306;5;CONDE
307;5;CONDEUBA
308;5;CONTENDAS DO SINCORA
309;5;CORACAO DE MARIA
310;5;CORDEIROS
311;5;CORIBE
312;5;CORONEL JOAO SA
313;5;CORRENTINA
314;5;COTEGIPE
315;5;CRAVOLANDIA
316;5;CRISOPOLIS
317;5;CRISTOPOLIS
318;5;CRUZ DAS ALMAS
319;5;CURACA
320;5;DARIO MEIRA
321;5;DIAS D'AVILA
322;5;DOM BASILIO
323;5;DOM MACEDO COSTA
324;5;ELISIO MEDRADO
325;5;ENCRUZILHADA
326;5;ENTRE RIOS
327;5;ERICO CARDOSO
328;5;ESPLANADA
329;5;EUCLIDES DA CUNHA
330;5;EUNAPOLIS
331;5;FATIMA
332;5;FEIRA DA MATA
333;5;FEIRA DE SANTANA
334;5;FILADELFIA
335;5;FIRMINO ALVES
336;5;FLORESTA AZUL
337;5;FORMOSA DO RIO PRETO
338;5;GANDU
339;5;GAVIAO
340;5;GENTIO DO OURO
341;5;GLORIA
342;5;GONGOGI
343;5;GOVERNADOR MANGABEIRA
344;5;GUAJERU
345;5;GUANAMBI
346;5;GUARATINGA
347;5;HELIOPOLIS
348;5;IACU
349;5;IBIASSUCE
350;5;IBICARAI
351;5;IBICOARA
352;5;IBICUI
353;5;IBIPEBA
354;5;IBIPITANGA
355;5;IBIQUERA
356;5;IBIRAPITANGA
357;5;IBIRAPUA
358;5;IBIRATAIA
359;5;IBITIARA
360;5;IBITITA
361;5;IBOTIRAMA
362;5;ICHU
363;5;IGAPORA
364;5;IGRAPIUNA
365;5;IGUAI
366;5;ILHEUS
367;5;INHAMBUPE
368;5;IPECAETA
369;5;IPIAU
370;5;IPIRA
371;5;IPUPIARA
372;5;IRAJUBA
373;5;IRAMAIA
374;5;IRAQUARA
375;5;IRARA
376;5;IRECE
377;5;ITABELA
378;5;ITABERABA
379;5;ITABUNA
380;5;ITACARE
381;5;ITAETE
382;5;ITAGI
383;5;ITAGIBA
384;5;ITAGIMIRIM
385;5;ITAGUACU DA BAHIA
386;5;ITAJU DO COLONIA
387;5;ITAJUIPE
388;5;ITAMARAJU
389;5;ITAMARI
390;5;ITAMBE
391;5;ITANAGRA
392;5;ITANHEM
393;5;ITAPARICA
394;5;ITAPE
395;5;ITAPEBI
396;5;ITAPETINGA
397;5;ITAPICURU
398;5;ITAPITANGA
399;5;ITAQUARA
400;5;ITARANTIM
401;5;ITATIM
402;5;ITIRUCU
403;5;ITIUBA
404;5;ITORORO
405;5;ITUACU
406;5;ITUBERA
407;5;IUIU
408;5;JABORANDI
409;5;JACARACI
410;5;JACOBINA
411;5;JAGUAQUARA
412;5;JAGUARARI
413;5;JAGUARIPE
414;5;JANDAIRA
415;5;JEQUIE
416;5;JEREMOABO
417;5;JIQUIRICA
418;5;JITAUNA
419;5;JOAO DOURADO
420;5;JUAZEIRO
421;5;JUCURUCU
422;5;JUSSARA
423;5;JUSSARI
424;5;JUSSIAPE
425;5;LAFAIETE COUTINHO
426;5;LAGOA REAL
427;5;LAJE
428;5;LAJEDAO
429;5;LAJEDINHO
430;5;LAJEDO DO TABOCAL
431;5;LAMARAO
432;5;LAPAO
433;5;LAURO DE FREITAS
434;5;LENCOIS
435;5;LICINIO DE ALMEIDA
436;5;LIVRAMENTO DO BRUMADO
437;5;MACAJUBA
438;5;MACARANI
439;5;MACAUBAS
440;5;MACURURE
441;5;MADRE DE DEUS
442;5;MAETINGA
443;5;MAIQUINIQUE
444;5;MAIRI
445;5;MALHADA DE PEDRAS
446;5;MALHADA
447;5;MANOEL VITORINO
448;5;MANSIDAO
449;5;MARACAS
450;5;MARAGOGIPE
451;5;MARAU
452;5;MARCIONILIO SOUZA
453;5;MASCOTE
454;5;MATA DE SAO JOAO
455;5;MATINA
456;5;MEDEIROS NETO
457;5;MIGUEL CALMON
458;5;MILAGRES
459;5;MIRANGABA
460;5;MIRANTE
461;5;MONTE SANTO
462;5;MORPARA
463;5;MORRO DO CHAPEU
464;5;MORTUGABA
